"binomial","fb_name"
"Dermogenys pusilla","Dermogenys pusilla"
"Dicologlossa hexophthalma","Dicologlossa hexophthalma"
"Dinotopterus cunningtoni","Dinotopterus cunningtoni"
"Diogenichthys atlanticus","Diogenichthys atlanticus"
"Diplectrum conceptione","Diplectrum conceptione"
"Diplocheilichthys pleurotaenia","Diplocheilichthys pleurotaenia"
"Diplodus bellottii","Diplodus bellottii"
"Diplotaxodon argenteus","Diplotaxodon argenteus"
"Dipturus macrocauda","Dipturus macrocauda"
"Dipturus trachyderma","Dipturus trachyderma"
"Dormitator latifrons","Dormitator latifrons"
"Dormitator maculatus","Dormitator maculatus"
"Drepane africana","Drepane africana"
"Echiichthys vipera","Echiichthys vipera"
"Echinorhinus cookei","Echinorhinus cookei"
"Ecsenius pulcher","Ecsenius pulcher"
"Ehirava fluviatilis","Ehirava fluviatilis"
"Eleutheronema rhadinum","Eleutheronema rhadinum"
"Elops hawaiensis","Elops hawaiensis"
"Elops senegalensis","Elops senegalensis"
"Encheliophis boraborensis","Encheliophis boraborensis"
"Engraulicypris sardella","Engraulicypris sardella"
"Enteromius paludinosus","Enteromius paludinosus"
"Ephippion guttifer","Ephippion guttifer"
"Epigonus crassicaudus","Epigonus crassicaudus"
"Epinephelus chabaudi","Epinephelus chabaudi"
"Epinephelus cifuentesi","Epinephelus cifuentesi"
"Epinephelus epistictus","Epinephelus epistictus"
"Epinephelus fasciatomaculosus","Epinephelus fasciatomaculosus"
"Epinephelus latifasciatus","Epinephelus latifasciatus"
"Epinephelus magniscuttis","Epinephelus magniscuttis"
"Eptatretus polytrema","Eptatretus polytrema"
"Equulites leuciscus","Equulites leuciscus"
"Eridacnis radcliffei","Eridacnis radcliffei"
"Erythrocles monodi","Erythrocles monodi"
"Escualosa thoracata","Escualosa thoracata"
"Esomus danrica","Esomus danrica"
"Esomus longimanus","Esomus longimanus"
"Etelis radiosus","Etelis radiosus"
"Etmopterus lucifer","Etmopterus lucifer"
"Etmopterus schultzi","Etmopterus schultzi"
"Etroplus suratensis","Etroplus suratensis"
"Eugerres axillaris","Eugerres axillaris"
